,Unnamed: 0,Unnamed: 0.1,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,privacy,activity,satisfaction,lat_acc,lat_rej,id,pol_inclination
18,18.0,18.0,0.11686623682985871,-0.0059056418862329,-0.5556691003902873,-0.8161786458196452,-0.5425743043798726,-0.16650224435169514,0.36666666666666664,0.6166666666666666,-77.60429762749997,0.8145125631400241,1.1854874368599764,18.0,-0.18009111485075857
19,19.0,19.0,-0.3937239793075073,-0.5132000713998347,-0.5476696445992201,-0.8411191113826387,-0.6047740625153426,-0.4531705525796758,0.10000000000000002,0.5916666666666667,-106.65326244048454,0.7861899864842399,1.21381001351576,19.0,-0.07407833852851585
20,20.0,20.0,-0.5818536186393289,-0.8749999999999999,-0.7547165283950905,-0.6671539491845132,-0.9147574421075414,-0.6217985590325128,0.3140061666666666,0.49166666666666664,-122.61680970525798,0.7969029142556637,1.2030970857443353,20.0,0.0013100327849753497
21,21.0,21.0,-0.5695395648608655,-0.10954169935400045,-0.36864238728707904,-0.497693845302628,-0.7049425374305569,-0.6974206970744499,0.4527573833333333,0.425,-119.24648992837292,0.7167430170078504,1.2832569829921485,21.0,-0.14205557138428163
22,22.0,22.0,-0.22528125106020494,-0.5850647469175302,-0.4634680759711602,-0.2699847277007074,-0.496817698057402,-0.36339998867779416,0.6861746333333333,0.5398703499999999,-111.55313243708342,0.9114787812624049,1.0885212187375943,22.0,0.023935276585498596
23,23.0,23.0,-0.35200119918027767,-0.6771497743527175,-0.6967096637962312,-0.34948184272378285,-0.21041183195690397,-0.6680368269628846,0.5756225333333332,0.25833333333333325,-132.14934763919314,0.6423478740959621,1.357652125904038,23.0,0.08298835594760916
24,24.0,24.0,-0.2684958689184775,-0.2902974063283577,-0.7480179028281705,-0.6072314968521767,-0.5287443064359248,-0.6731319010450841,0.21744531666666658,0.6166666666666666,-140.0484836805622,0.8006254143661408,1.1993745856338602,24.0,-0.08371608770969668
25,25.0,25.0,-0.4403554833453514,-0.7735613987246243,-0.7209249130187309,-0.23361057542351057,-0.7648557321854366,-0.8532094089071786,0.2628566,0.25833333333333325,-130.93940684925238,0.5981709645691073,1.4018290354308929,25.0,0.013861013095430115
26,26.0,26.0,0.1103427143451306,-0.29659321435206515,-0.2187101100873187,-0.7733957557719,-0.7690941786955131,-0.33482512722701313,0.4333333333333333,0.65,-103.56259679810853,0.6691129958877116,1.3308870041122882,26.0,-0.24539240860002878
27,27.0,27.0,-0.34328197873962724,-0.11895864493769359,-0.8453468173145583,-0.4624715440194797,-0.6315803001691491,-0.5417871401054386,0.5489070833333333,0.4862145833333335,-122.19679983742724,0.7316945073779024,1.2683054926220956,27.0,-0.054708590550364734
28,28.0,28.0,-0.08729671231865437,-0.27234502203039557,-0.4473097484201784,-0.2596740311009499,-0.4721801409791833,-0.41979065827045936,0.4881239166666666,0.4749999999999999,-121.56411175873667,0.6848726122089953,1.3151273877910035,28.0,-0.05744889126356073
29,29.0,29.0,-0.5791993108380499,-0.033481780928500814,-0.8174267011003756,-0.8195942292853277,-0.30889983409622596,-0.7199238002949025,0.17549143333333336,0.3989461333333333,-116.03913718238091,0.656807967552474,1.343192032447526,29.0,-0.06971834513492162
30,30.0,30.0,-0.6309281388792326,-0.7557270920204132,-0.3634692378378421,-0.4813819223850652,-0.4385842767945268,-0.8567806357508765,0.5166666666666667,0.5083333333333333,-71.71658058322093,0.763521695281626,1.2364783047183743,30.0,-0.004437061032163417
31,31.0,31.0,-0.19356649143297855,-0.2915254185793134,-0.5568192602390499,-0.4067932297377624,-0.6577390838369898,-0.49128320486281196,0.19166666666666657,0.5083333333333333,-137.6038182713336,0.40765060764989175,1.59234939235011,31.0,-0.08565072469770368
32,32.0,32.0,-0.43670716177288105,-0.7067821207531714,-0.5474859167747256,-0.6920208666997172,-0.6186145194439586,-0.46822028258228815,0.1687562333333332,0.4416666666666666,-115.89681872928571,0.7482748718003799,1.2517251281996191,32.0,-0.01464674490419772
