,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference,[met_stance_sim,met_modularity,met_comm_var,met_edge_rat
35,2,0.655408,101,75,25,12,63,0.420708,0.395985549886133,-0.01738834923961374,0.02219085932099967,0.002491,-0.08284614212115955,0.326281111222718,0.27539770122604235,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
36,2,0.391878,101,75,25,12,63,0.421092,0.39647574596456436,-0.017320185262133712,0.02219085932099967,0.002815,-0.09312554028189311,0.32969154811592194,0.274703768734133,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
37,2,0.498967,101,75,25,12,63,0.421488,0.39696594204299573,-0.017320185262133712,0.02945601716858322,0.003138,-0.10657730849926098,0.3345736564125539,0.273964406760023,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
38,2,0.30143,101,75,25,12,63,0.421896,0.3974561381214271,-0.017320185262133712,0.022484871789682382,0.003462,-0.11492311721555007,0.3399406508968551,0.27344672146267157,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
39,2,-0.314933,101,75,25,12,63,0.421273,0.3968025433501853,-0.017320185262133712,0.02945601716858322,0.003138,-0.10597411697822537,0.33974452371238906,0.27636609942383666,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
40,2,-0.517858,101,80,20,13,67,0.420828,0.39639404661815913,-0.019063529485237863,0.025014579221245344,0.003057,-0.09617580139030736,0.3395012761395736,0.27891862602990963,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
41,1,0.374259,101,74,26,12,62,0.421637,0.39725848531876984,-0.01940174377516,0.02149478202275187,0.00301,-0.10338672740047843,0.33953578487743763,0.27630838138348623,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
42,4,0.614694,102,75,25,10,63,0.422175,0.3979005629909189,-0.020643120881784344,0.02149478202275187,0.002837,-0.11886917124621738,0.34057178099394253,0.2738811969174669,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
43,2,0.322975,101,80,20,13,67,0.42263,0.39833118647001586,-0.020643120881784344,0.02149478202275187,0.002896,-0.12483641854934573,0.3403075528386027,0.27204947469524465,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
44,1,-0.282392,101,74,26,12,62,0.42183,0.3974783938970772,-0.02030408250597437,0.025014579221245344,0.002932,-0.11937962035239706,0.34082976157646677,0.2753415824622349,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
