,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
3099,6,-0.392624,100,88,4,14,74,0.490844,0.4306640467898521,0.00671895029364707,0.09389594304808835,-0.035746,-12.879014911213053,0.5128087281553396,0.34901821394646115
3100,2,0.52912,101,90,2,14,76,0.491023,0.43088706659472226,0.007435185895217632,0.09504589117825017,-0.035983,-12.911350996115967,0.5086257446601942,0.3454743090920922
3101,6,-0.568369,100,87,3,12,75,0.490258,0.43002416131484694,0.006720655556770629,0.09504589117825017,-0.036226,-12.900322018090076,0.5099687019417474,0.3469306197717038
3102,1,-0.542095,101,90,2,14,76,0.489799,0.42957908385470067,0.0060203484899714645,0.09504589117825017,-0.035902,-12.883284068090077,0.513736818446602,0.350814114917335
3103,6,-0.201556,100,87,3,12,75,0.489048,0.4204187582061712,0.005126465260182894,0.09598041848971284,-0.036145,-12.879372949675837,0.5167148398058251,0.3519706019723512
3104,1,0.527182,101,90,2,14,76,0.489507,0.4208498925197678,0.006012226780633859,0.09598041848971284,-0.036469,-12.895878203219528,0.5110140640776699,0.3485725437199239
3105,6,-0.480607,100,87,3,12,75,0.488771,0.42014967092768507,0.006012226780633859,0.09598041848971284,-0.036711,-12.886552206601406,0.5133573330097086,0.35029046787040935
3106,1,-0.902255,101,90,2,14,76,0.488311,0.4197185366140885,0.005126465260182894,0.09598041848971284,-0.036388,-12.858194474125678,0.5169278669902911,0.3536885261228366
3107,6,0.692913,100,87,3,12,75,0.489048,0.4204187582061712,0.005126465260182894,0.09598041848971284,-0.036145,-12.871640179465485,0.5140127417475726,0.3522322154432249
3108,1,-0.237397,101,90,2,14,76,0.488605,0.4199902226921319,0.005126465260182894,0.09598041848971284,-0.035825,-12.864207637766455,0.5194174291262136,0.3559071517539045
3109,6,-0.653092,100,87,3,12,75,0.487867,0.41929000110004916,0.005126465260182894,0.09598041848971284,-0.036067,-12.851534643397523,0.5202781019417474,0.3573634624335162
3110,1,0.426377,101,90,2,14,76,0.488295,0.41949962157665993,0.005182837477193394,0.0945470508522022,-0.03631,-12.861635143170986,0.515520949514563,0.353965404181089
3111,6,-0.40643,100,88,4,14,74,0.487479,0.4187295264923735,0.005634830328997856,0.0945470508522022,-0.036472,-12.851747063656422,0.5187693155339805,0.35590715175390447
